symbol,date,open,high,low,close,volume,adjusted,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
AAPL,2020-01-31T00:00:00Z,320.93,322.68,308.29,309.51,49897096,76.7139345033,79.9781990421,76.4115500889,79.5444509067,199588384,0,1
AAPL,2020-02-03T00:00:00Z,304.3,313.49,302.22,308.66,43496401,76.5032568375,77.7004016911,74.9070636993,75.4226043402,173985604,0,1
AAPL,2020-02-04T00:00:00Z,315.31,319.64,313.63,318.85,34154134,79.0289102658,79.2247165669,77.735101542,78.1514997519,136616536,0,1
AAPL,2020-02-05T00:00:00Z,323.52,324.76,318.95,321.45,29706718,79.6733360669,80.493739683,79.0536958735,80.186398147,118826872,0,1
AAPL,2020-02-06T00:00:00Z,322.57,325.22,320.26,325.21,26356385,80.6052749178,80.6077534786,79.3783873349,79.9509348736,105425540,0,1
AAPL,2020-02-07T00:00:00Z,322.37,323.4,318,320.03,29421012,79.5122296166,80.3495142893,79.0078711936,80.0936082915,117684048,0.77,1
AAPL,2020-02-10T00:00:00Z,314.18,321.55,313.85,321.55,27337215,79.8898773028,79.8898773028,77.9767936293,78.0587829296,109348860,0,1
AAPL,2020-02-11T00:00:00Z,323.6,323.9,318.71,319.61,23580780,79.4078795981,80.4737405019,79.1842724155,80.3992047744,94323120,0,1
AAPL,2020-02-12T00:00:00Z,321.47,327.22,321.47,327.2,28432573,81.2936335049,81.2986025534,79.8700011088,79.8700011088,113730292,0,1
AAPL,2020-02-13T00:00:00Z,324.19,326.22,323.35,324.87,23686892,80.7147393543,81.0501501282,80.3370916681,80.5457917052,94747568,0,1
AAPL,2020-02-14T00:00:00Z,324.74,325.98,322.85,324.95,20028447,80.7346155483,80.9905215462,80.2128654555,80.682440539,80113788,0,1
AAPL,2020-02-18T00:00:00Z,315.36,319.75,314.61,319,38190545,79.2563236187,79.4426629376,78.1656174724,78.3519567912,152762180,0,1
AAPL,2020-02-19T00:00:00Z,320,324.57,320,323.62,23495991,80.4041738229,80.6402036268,79.5047760439,79.5047760439,93983964,0,1
AAPL,2020-02-20T00:00:00Z,322.63,324.65,318.21,320.3,25141489,79.5793117714,80.6600798208,79.0600462029,80.158205922,100565956,0,1
AAPL,2020-02-21T00:00:00Z,318.62,320.45,310.5,313.05,32426415,77.7780316892,79.6165796352,77.1444780051,79.1619116972,129705660,0,1
AAPL,2020-02-24T00:00:00Z,297.26,304.18,289.23,298.18,55548828,74.0835441274,75.5742586782,71.8598949224,73.8549678963,222195312,0,1
AAPL,2020-02-25T00:00:00Z,300.95,302.53,286.13,288.08,57668364,71.5741746335,75.1643121767,71.0896924045,74.771757345,230673456,0,1
AAPL,2020-02-26T00:00:00Z,286.53,297.88,286.5,292.65,49678431,72.7096022164,74.0090083998,71.1816198018,71.1890733745,198713724,0,1
AAPL,2020-02-27T00:00:00Z,281.1,286,272.96,273.52,80151381,67.9567073235,71.0573935892,67.8175739654,69.839976706,320605524,0,1
AAPL,2020-02-28T00:00:00Z,257.26,278.41,256.37,273.36,106721230,67.9169549355,69.1716396824,63.6957482324,63.9168708908,426884920,0,1
AAPL,2020-03-02T00:00:00Z,282.28,301.44,277.72,298.81,85349339,74.2400691552,74.8934990333,69.0002075091,70.1331505677,341397356,0,1
AAPL,2020-03-03T00:00:00Z,303.67,304,285.8,289.32,79868852,71.8822556407,75.5295372417,71.0077031042,75.4475479414,319475408,0,1
AAPL,2020-03-04T00:00:00Z,296.44,303.4,293.13,302.74,54794568,75.216487186,75.3804657866,72.8288593804,73.6512369076,219178272,0,1
AAPL,2020-03-05T00:00:00Z,295.52,299.55,291.41,292.92,46893219,72.7766843712,74.4239239498,72.4015212092,73.4226606765,187572876,0,1
AAPL,2020-03-06T00:00:00Z,282,290.82,281.23,289.03,56544246,71.8102044374,72.2549342784,69.8722755213,70.0635838887,226176984,0,1
AAPL,2020-03-09T00:00:00Z,263.75,278.09,263,266.17,71686208,66.1305819987,69.0921349064,65.3429878111,65.5293271299,286744832,0,1
AAPL,2020-03-10T00:00:00Z,277.14,286.44,269.37,285.34,71322520,70.8934149886,71.1667126563,66.9256297592,68.8561051025,285290080,0,1
AAPL,2020-03-11T00:00:00Z,277.39,281.22,271.86,275.43,64094970,68.4312514555,69.8697909971,67.5442762978,68.9182182088,256379880,0,1
AAPL,2020-03-12T00:00:00Z,255.94,270,248,248.23,104618517,61.6733454918,67.082154787,61.616201434,63.5889136896,418474068,0,1
AAPL,2020-03-13T00:00:00Z,264.89,279.92,252.95,277.97,92683032,69.0623206154,69.5468028444,62.8460409384,65.8125628946,370732128,0,1
AAPL,2020-03-16T00:00:00Z,241.95,259.08,240,242.21,80605865,60.1776618925,64.3690543045,59.6285820329,60.1130642619,322423460,0,1
AAPL,2020-03-17T00:00:00Z,247.51,257.61,238.4,252.86,81013965,62.8236802202,64.0038292396,59.2310581527,61.4944597457,324055860,0,1
